Value, Name
2.4e-05 , A1
2.4e-05 , B1
2.2e-05 , C1
1.6e-05 , D1
2.0e-05 , E1
1.5e-05 , F1
4.5e-07 , G1
2.2e-07 , H1
3.2e-05 , A2
2.4e-05 , B2
2.3e-05 , C2
2.0e-05 , D2
1.1e-05 , E2
1.6e-05 , F2
4.2e-07 , G2
3.5e-07 , H2
2.7e-05 , A3
2.8e-05 , B3
2.6e-05 , C3
2.3e-05 , D3
2.1e-05 , E3
1.8e-05 , F3
3.5e-07 , G3
2.3e-07 , H3
2.4e-05 , A4
2.4e-05 , B4
2.5e-05 , C4
-4.4e-05 , D4
-4.9e-05 , E4
-5.1e-05 , F4
4.3e-07 , G4
3.4e-07 , H4
2.5e-05 , A5
2.5e-05 , B5
2.1e-05 , C5
2.6e-05 , D5
2.0e-05 , E5
2.0e-05 , F5
3.9e-07 , G5
3.3e-07 , H5
3.1e-05 , A6
2.2e-05 , B6
1.9e-05 , C6
2.2e-07 , D6
2.5e-07 , E6
4.8e-05 , F6
5.6e-05 , G6
7.9e-05 , H6
2.4e-05 , A7
2.3e-05 , B7
1.9e-05 , C7
2.4e-07 , D7
2.6e-07 , E7
5.4e-05 , F7
7.7e-05 , G7
8.2e-05 , H7
2.2e-05 , A8
2.0e-05 , B8
2.0e-05 , C8
2.1e-07 , D8
1.7e-07 , E8
5.5e-05 , F8
-3.0e-06 , G8
1.0e-04 , H8
2.2e-05 , A9
1.9e-05 , B9
1.9e-05 , C9
2.9e-07 , D9
1.4e-07 , E9
9.7e-06 , F9
2.9e-06 , G9
ERROR,  H9
2.2e-05 , A10
2.3e-05 , B10
1.9e-05 , C10
3.4e-07 , D10
1.5e-07 , E10
1.2e-05 , F10
-2.8e-06 , G10
ERROR,  H10
2.3e-05 , A11
1.9e-05 , B11
1.7e-05 , C11
2.4e-07 , D11
1.8e-07 , E11
8.9e-06 , F11
-5.3e-06 , G11
ERROR,  H11
2.5e-05 , A12
1.8e-05 , B12
1.5e-05 , C12
1.6e-07 , D12
1.1e-07 , E12
3.4e-06 , F12
-2.7e-06 , G12
-4.0e-06 , H12
